"name","isAlcohol","picture","Glass","instruction","ingredients_combined","ingredients_list"
"화이트 라이센스 플레이트를 단 '57 쉐비","Alcoholic","http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg","Highball glass","1. 락 글라스에 얼음을 채웁니다 2. 화이트 크렘 드 카카오와 보드카를 넣습니다 3. 저어줍니다","1 oz white Creme de Cacao, 1 oz Vodka","['Creme de Cacao', 'Vodka']"
"155 벨몬트","Alcoholic","http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg","White wine glass","얼음과 함께 블렌더에 갈아줍니다. 와인 글라스에 담고 당근으로 장식합니다.","1 shot Dark rum, 2 shots Light rum, 1 shot Vodka, 1 shot Orange juice","['Dark rum', 'Light rum', 'Vodka', 'Orange juice']"
"9 1/2 주간","Alcoholic","http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg","Cocktail glass","모든 재료를 글라스 믹서에 넣습니다. 차갑게 식히고 칵테일 글라스에 따릅니다. 슬라이스한 딸기로 장식합니다.","2 oz Absolut Citron, 1/2 oz Orange Curacao, 1 splash Strawberry liqueur, 1 oz Orange juice","['Absolut Citron', 'Orange Curacao', 'Strawberry liqueur', 'Orange juice']"
"길리건스 아일랜드","Alcoholic","http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg","Collins glass","흔들어주세요, 저으면 안 됩니다!","1 oz Vodka, 1 oz Peach schnapps, 3 oz Orange juice, 3 oz Cranberry juice","['Vodka', 'Peach schnapps', 'Orange juice', 'Cranberry juice']"
"진짜 아마레또 사워","Alcoholic","http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg","Old-fashioned glass","올드 패션드 글라스의 가장자리를 레몬으로 문지르고, 설탕에 여러 번 담가 좋은 '프로스티드' 테두리를 만듭니다. 아마레또 1 지거와 레몬 1/2개의 즙을 흔들어줍니다. 글라스에 거르고 얼음을 넣습니다. 마라스키노 체리로 장식합니다.","1 jigger Amaretto, Juice of 1/2 Lemon, Ice, Maraschino cherry","['Amaretto', 'Lemon', 'Ice', 'Maraschino cherry']"
"A.D.M. (애프터 디너 민트)","Alcoholic","http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg","Irish coffee cup","세게 흔들어줍니다","1/2 oz White Creme de Menthe, 3/4 oz Southern Comfort, 1/2 oz Vodka, Fill with Hot chocolate","['White Creme de Menthe', 'Southern Comfort', 'Vodka', 'Hot chocolate']"
"A1","Alcoholic","http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg","Cocktail glass","모든 재료를 칵테일 셰이커에 넣고 섞은 후 차갑게 식힌 글라스에 얼음과 함께 서빙합니다.","1 3/4 shot Gin, 1 Shot Grand Marnier, 1/4 Shot Lemon Juice, 1/8 Shot Grenadine","['Gin', 'Grand Marnier', 'Lemon Juice', 'Grenadine']"
"애비 마티니","Alcoholic","http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg","Cocktail glass","모든 재료를 셰이커에 넣고 섞은 후 차갑게 식힌 칵테일 글라스에 거릅니다.","2 shots Gin, 1 shot Sweet Vermouth, 1 shot Orange Juice, 3 dashes Angostura Bitters","['Gin', 'Sweet Vermouth', 'Orange Juice', 'Angostura Bitters']"
"앱솔루트 섬머타임","Alcoholic","http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg","Collins glass","레몬을 제외한 모든 재료를 얼음을 채운 셰이커에 넣습니다. 덮고 세게 흔들어줍니다. 얼음을 채운 콜린스 글라스에 내용물을 거릅니다. 레몬으로 장식합니다.","1 1/2 oz Absolut Citron, 3/4 oz Sweet and sour, 1/2 oz Sprite, 3 oz Soda water, 1 slice Lemon","['Absolut Citron', 'Sweet and sour', 'Sprite', 'Soda water', 'Lemon']"
"절대적으로 멋진","Alcoholic","http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg","Champagne flute","보드카와 크랜베리 주스를 셰이커에 함께 섞어 글라스에 거릅니다. 샴페인으로 채웁니다.","1 shot Vodka, 2 shots Cranberry Juice, Top up with Champagne","['Vodka', 'Cranberry Juice', 'Champagne']"
"완전히 망가진","Alcoholic","http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg","Collins glass","흔들어주면 맛이 더 좋지만 원하면 저어도 됩니다. 6잔 마시면 밤새 취할 겁니다.","1 shot Absolut Citron, 1 shot Orange juice, 1 shot Triple sec, Fill to top Ginger ale","['Absolut Citron', 'Orange juice', 'Triple sec', 'Ginger ale']"
"에이스","Alcoholic","http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg","Martini Glass","모든 재료를 얼음과 함께 칵테일 셰이커에 넣고 흔든 후 차가운 글라스에 거릅니다.","2 shots Gin, 1/2 shot Grenadine, 1/2 shot Heavy cream, 1/2 shot Milk, 1/2 Fresh Egg White","['Gin', 'Grenadine', 'Heavy cream', 'Milk', 'Egg White']"
"아담과 이브","Alcoholic","http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg","Cocktail glass","모든 재료를 함께 흔들어 차가운 글라스에 거릅니다.","1 shot Gin, 1 shot Cognac, 1 shot Creme de Cassis, 1/8 shot Fresh Lemon Juice","['Gin', 'Cognac', 'Creme de Cassis', 'Fresh Lemon Juice']"
"애딩턴","Alcoholic","http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg","Cocktail glass","두 베르무트를 셰이커에 섞어 차가운 글라스에 거릅니다. 소다수를 약간 넣어 채웁니다.","2 shots Sweet Vermouth, 1 shot Dry Vermouth, Top up with Soda Water","['Sweet Vermouth', 'Dry Vermouth', 'Soda Water']"
"애디슨","Alcoholic","http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg","Martini Glass","모든 재료를 함께 흔들어 차가운 글라스에 거릅니다.","1 1/2 shot Gin, 1 1/2 shot Vermouth","['Gin', 'Vermouth']"
"애디슨 스페셜","Alcoholic","http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg","Old-fashioned glass","재료를 나열된 순서대로 셰이커에 넣습니다. 반쯤 얼음을 채우고 잘 흔듭니다. 얼음이 든 글라스에 거르고 체리와 오렌지 조각으로 장식합니다.","1 shot Vodka, 1 tblsp Grenadine, Fill with Orange juice","['Vodka', 'Grenadine', 'Orange juice']"
"아디오스 아미고스 칵테일","Alcoholic","http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg","Martini Glass","모든 재료를 함께 흔들어 차가운 글라스에 거릅니다.","1 shot Rum, 1/2 shot Dry Vermouth, 1/2 shot Cognac, 1/2 shot Gin, 1/4 shot Fresh Lime Juice, 1/4 shot Sugar Syrup, 1/2 shot Water","['Rum', 'Dry Vermouth', 'Cognac', 'Gin', 'Fresh Lime Juice', 'Sugar Syrup', 'Water']"
"애프터글로우","Non alcoholic","http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg","Highball Glass","섞어줍니다. 얼음 위에 서빙합니다.","1 part Grenadine, 4 parts Orange juice, 4 parts Pineapple juice","['Grenadine', 'Orange juice', 'Pineapple juice']"
"앨리스 칵테일","Non alcoholic","http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg","Cocktail glass","잘 흔들어 큰 칵테일 글라스에 거릅니다.","1 cl Grenadine, 1 cl Orange juice, 2 cl Pineapple juice, 4 cl Cream","['Grenadine', 'Orange juice', 'Pineapple juice', 'Cream']"
"애플 가라테","Non alcoholic","http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg","Highball Glass","모든 재료를 블렌더 용기에 넣고 뚜껑을 덮은 후 중간 속도로 잘 섞일 때까지 갈아줍니다. 큰 글라스 1개, 중간 글라스 2개 또는 작은 글라스 3개에 따라 마십니다.","2 cups Apple juice, 1 large Carrot","['Apple juice', 'Carrot']"
"애플잭","Alcoholic","http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg","Cocktail glass","모든 재료를 믹싱 글라스에 넣고 차갑게 식힌 후 칵테일 글라스에 거릅니다","1 oz Jack Daniels, 1/2 oz Midori melon liqueur, 2 oz Sour mix","['Jack Daniels', 'Midori melon liqueur', 'Sour mix']"
"애리조나 스팅어스","Alcoholic","http://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg","Hurricane glass","허리케인 글라스에 얼음을 넣습니다. 앱솔루트 보드카 2샷(팁이 가득)을 넣습니다 (참고: 원하는 만큼 앱솔루트 샷을 추가할 수 있습니다!) 레몬 애리조나 아이스티로 나머지를 채웁니다. 스푼으로 저어 섞습니다. 마시고 즐기세요!!!!!!!","2 shots Absolut Vodka, 12 oz lemon Iced tea","['Absolut Vodka', 'Iced tea']"
"애리조나 트위스터","Alcoholic","http://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg","Hurricane glass","럼, 보드카, 데킬라 샷을 섞습니다. 세 가지 주스를 튀기고 파인애플을 많이 넣습니다. 그레나딘으로 마무리합니다. 크러쉬 아이스는 이미 글라스에 있어야 합니다. 파인애플 조각으로 글라스를 마무리합니다.","1 shot Vodka, 1 shot Malibu rum, 1 shot Gold tequila, 1 splash Orange juice, 1 splash Pineapple juice, 1 splash Cream of coconut, 1 dash Grenadine, crushed Ice, 1 wedge Pineapple","['Vodka', 'Malibu rum', 'Gold tequila', 'Orange juice', 'Pineapple juice', 'Cream of coconut', 'Grenadine', 'Ice', 'Pineapple']"
"육군 스페셜","Alcoholic","http://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg","Cocktail glass","보드카, 진, 라임 코디얼을 글라스에 붓고 크러쉬 아이스로 채웁니다. 얼음이 약간 녹을 때까지 기다렸다가 빨대 없이 홀짝입니다.","30 ml Vodka, 30 ml Gin, 45 ml Lime juice cordial, 1/2 glass crushed Ice","['Vodka', 'Gin', 'Lime juice cordial', 'Ice']"
"에비에이션","Alcoholic","http://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg","Cocktail glass","모든 재료를 얼음이 든 칵테일 셰이커에 넣습니다. 잘 흔들어 칵테일 글라스에 거릅니다. 체리로 장식합니다.","4.5 cl Gin, 1.5 cl lemon juice, 1.5 cl maraschino liqueur","['Gin', 'lemon juice', 'maraschino liqueur']"
"보라보라","Non alcoholic","http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg","Highball glass","블렌더나 셰이커에서 준비하여 하이볼 글라스에 얼음 위에 서빙합니다. 파인애플 슬라이스 1개와 체리 하나로 장식합니다.","10 cl Pineapple juice, 6 cl Passion fruit juice, 1 cl Lemon juice, 1 cl Grenadine","['Pineapple juice', 'Passion fruit juice', 'Lemon juice', 'Grenadine']"
"체리 일렉트릭 레모네이드","","http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg","Pint glass","세게 저은 후 큰 얼음 컵 위에 붓습니다. 빨대로 마시고 가끔 저어줍니다.","1 oz Gin, 1 oz Tequila, 1 oz Vodka, 1 oz White rum, 1 oz Triple Sec, 1 oz Cherry Grenadine, 1 oz Sweet and sour, 3 oz Club soda","['Gin', 'Tequila', 'Vodka', 'White rum', 'Triple Sec', 'Cherry Grenadine', 'Sweet and sour', 'Club soda']"
"코스모폴리탄","Alcoholic","http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg","Cocktail glass","모든 재료를 얼음이 든 칵테일 셰이커에 넣습니다. 잘 흔들어 큰 칵테일 글라스에 이중으로 거릅니다. 라임 휠로 장식합니다.","1 1/4 oz Absolut Citron, 1/4 oz Lime juice, 1/4 oz Cointreau, 1/4 cup Cranberry juice","['Absolut Citron', 'Lime juice', 'Cointreau', 'Cranberry juice']"
"코스모폴리탄 마티니","Alcoholic","http://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg","Cocktail Glass","모든 재료를 얼음을 반쯤 채운 믹싱 글라스에 붓고 흔들어 차갑게 식힌 마티니 글라스에 거릅니다.","1/2 oz Cointreau, 1 oz Vodka, Juice of 1/2 Lime, 1 splash Cranberry juice","['Cointreau', 'Vodka', 'Lime', 'Cranberry juice']"
"크림 소다","Alcoholic","http://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg","Highball glass","스파이스드 럼 1oz를 얼음이 든 하이볼 글라스에 붓습니다. 진저 에일로 채웁니다.","1 oz Spiced rum, Ginger ale","['Spiced rum', 'Ginger ale']"
"다크 카이피리냐","Alcoholic","http://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg","Highball glass","올드 패션드 글라스에 라임 조각과 설탕을 넣고 스푼으로 민트를 으깹니다._x000D_
글라스에 얼음을 채웁니다._x000D_
카샤사를 글라스에 붓습니다._x000D_
잘 저어줍니다.","2 tsp demerara Sugar, 1 Lime, 2 1/2 oz Cachaca","['demerara Sugar', 'Lime', 'Cachaca']"
"더티 마티니","Alcoholic","http://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg","Cocktail glass","보드카, 드라이 베르무트, 올리브 브라인을 얼음 한 줌과 함께 칵테일 셰이커에 붓고 잘 흔듭니다._x000D_
마티니 글라스의 가장자리를 레몬 조각으로 문지릅니다._x000D_
칵테일 셰이커의 내용물을 글라스에 거르고 올리브를 넣습니다._x000D_
더티 마티니는 올리브 브라인이나 올리브 주스를 한 방울 넣고 일반적으로 올리브로 장식합니다.","70ml/2fl oz Vodka, 1 tbsp Dry Vermouth, 2 tbsp Olive Brine, 1 wedge Lemon, 1 Olive","['Vodka', 'Dry Vermouth', 'Olive Brine', 'Lemon', 'Olive']"
"뒤샹의 펀치","Alcoholic","http://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg","Old-fashioned glass","모든 재료를 흔듭니다._x000D_
큰 얼음 큐브가 든 차갑게 식힌 더블 올드 패션드 글라스에 이중으로 거릅니다._x000D_
라벤더 가지 몇 개로 장식합니다","5 cl Pisco, 2.5 cl Lime Juice, 2.5 cl Pineapple Syrup, 1.5 cl St. Germain, 2 Dashes Angostura Bitters, Pinch Pepper, 2 sprigs Lavender","['Pisco', 'Lime Juice', 'Pineapple Syrup', 'St. Germain', 'Angostura Bitters', 'Pepper', 'Lavender']"
"에스프레소 마티니","Alcoholic","http://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg","Cocktail glass","재료를 얼음이 든 셰이커에 붓고 세게 흔든 후 차갑게 식힌 마티니 글라스에 거릅니다","5 cl Vodka, 1 cl Kahlua, 1 dash Sugar syrup","['Vodka', 'Kahlua', 'Sugar syrup']"
"플레이밍 람보르기니","Alcoholic","http://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg","Cocktail glass","삼부카와 깔루아를 칵테일 글라스에 붓고 마시는 사람에게 빨대를 줍니다. 베일리스와 블루 큐라소를 칵테일 글라스 양쪽에 각각 별도의 샷 글라스에 붓습니다. 칵테일 글라스의 혼합물에 불을 붙이고 빨대로 마시기 시작합니다 (이 음료는 한 번에 마셔야 합니다). 글라스 바닥에 도달하면 베일리스와 블루 큐라소를 칵테일 글라스에 부어 불을 끄고 모두 마실 때까지 계속 마십니다!!","1 oz Kahlua, 1 oz Sambuca, 1 oz Blue Curacao, 1 oz Bailey's irish cream","['Kahlua', 'Sambuca', 'Blue Curacao', ""Bailey's irish cream""]"
"프렌치 마티니","Alcoholic","http://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg","Cocktail glass","모든 재료를 얼음이 든 셰이커에 붓습니다. 잘 흔들어 차갑게 식힌 칵테일 글라스에 거릅니다. 레몬 껍질에서 오일을 짜서 음료에 뿌립니다.","4.5 cl Vodka, 1.5 cl Raspberry Liqueur, 1.5 cl pineapple juice","['Vodka', 'Raspberry Liqueur', 'pineapple juice']"
"가글리아르도","Alcoholic","http://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg","Cocktail glass","잘 흔들어 칵테일 글라스에 서빙합니다. 이것은 이탈리아 파비아의 American/Internet Bar del Pozzo의 하우스 칵테일입니다.","5 parts Peach Vodka, 3 parts Lemon juice, 1 part Galliano, 1 part Sirup of roses","['Peach Vodka', 'Lemon juice', 'Galliano', 'Sirup of roses']"
"진 리키","Alcoholic","http://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg","Highball glass","키 큰 글라스에 얼음을 반쯤 채웁니다. 진과 그레나딘을 섞어 얼음 위에 붓습니다. 라임이나 레몬 주스를 넣고 소다수로 채웁니다. 라임 및/또는 레몬 슬라이스로 글라스를 장식합니다.","2 oz Gin, 1 tsp Grenadine, Juice of 1/2 lemon, Top up with Soda Water, Garnish Lime","['Gin', 'Grenadine', 'lemon', 'Soda Water', 'Lime']"
"임페리얼 칵테일","Alcoholic","http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg","Cocktail glass","얼음과 함께 흔들어 칵테일 글라스에 거릅니다.","4 cl Lime juice, 2 cl Gin, 4 cl Aperol","['Lime juice', 'Gin', 'Aperol']"
"아이리시 커들링 카우","Alcoholic","http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg","Highball glass","아이리시 크림, 보드카, 버번을 글라스에 붓습니다. 얼음을 조금 넣고 오렌지 주스를 섞습니다.","3/4 oz Bailey's irish cream, 3/4 oz Bourbon, 3/4 oz Vodka, 2-3 oz Orange juice","[""Bailey's irish cream"", 'Bourbon', 'Vodka', 'Orange juice']"
"지터버그","Alcoholic","http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg","Cocktail Glass","글라스를 적시고 가장자리를 설탕에 담급니다. 그런 다음 얼음을 넣습니다. 그런 다음 나머지를 모두 넣습니다. 그렇게 간단합니다!","2 jiggers Gin, 1 jigger Vodka, 3 dashes Grenadine, 1 shot Lime juice, Around rim put 1 pinch Sugar, 3 dashes Sugar syrup, Fill to top with Soda water","['Gin', 'Vodka', 'Grenadine', 'Lime juice', 'Sugar', 'Sugar syrup', 'Soda water']"
"레몬 드롭","Alcoholic","http://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg","Cocktail glass","흔들어서 설탕으로 테두리를 두른 차갑게 식힌 칵테일 글라스에 거릅니다.","1 1/2 shot Absolut Vodka, 1 1/2 shot Cointreau, Juice of 1 wedge Lemon","['Absolut Vodka', 'Cointreau', 'Lemon']"
"말리부 트위스터","Alcoholic","http://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg","Highball glass","럼과 트위스터를 넣은 다음 크랜베리 주스를 넣고 저어줍니다","2 parts Malibu rum, 2 parts Tropicana, 1 part Cranberry juice","['Malibu rum', 'Tropicana', 'Cranberry juice']"
"맨해튼","Alcoholic","http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg","Cocktail glass","얼음 위에서 저은 후 차갑게 식힌 글라스에 거르고 장식하여 서빙합니다.","3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel","['Sweet Vermouth', 'Bourbon', 'Angostura bitters', 'Ice', 'Maraschino cherry', 'Orange peel']"
"마르티네즈 칵테일","Alcoholic","http://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg","Cocktail glass","모든 재료(체리 제외)를 얼음과 함께 저어 칵테일 글라스에 거릅니다. 체리를 올려 서빙합니다.","1 oz Gin, 1 oz Dry Vermouth, 1/4 tsp Triple sec, 1 dash Orange bitters, 1 Cherry","['Gin', 'Dry Vermouth', 'Triple sec', 'Orange bitters', 'Cherry']"
"마티니","Alcoholic","http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg","Cocktail glass","스트레이트: 모든 재료를 얼음이 든 믹싱 글라스에 붓습니다. 잘 저어줍니다. 차갑게 식힌 마티니 칵테일 글라스에 거릅니다. 레몬 껍질에서 오일을 짜서 음료에 뿌리거나 올리브로 장식합니다.","1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive","['Gin', 'Dry Vermouth', 'Olive']"
"메리 픽포드","Alcoholic","http://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg","Cocktail glass","흔들어서 차갑게 식힌 큰 칵테일 글라스에 거릅니다","1 1/2 oz Light rum, 1 oz Pineapple juice, 1/2 tsp Maraschino liqueur, 1/2 tsp Grenadine, 1 Maraschino cherry","['Light rum', 'Pineapple juice', 'Maraschino liqueur', 'Grenadine', 'Maraschino cherry']"
"마이애미 바이스","Alcoholic","http://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg","Cocktail glass","첫째: 피나 콜라다를 럼 2.5 oz와 얼음과 섞습니다(따로 보관). 둘째: 다이키리를 럼 2.5 oz와 얼음과 섞습니다. 셋째: 얼린 상태에서 글라스에 피나 콜라다 믹스를 넣은 다음 다이키리 믹스를 넣습니다 (서로 섞이지 않도록 주의).","5 oz Bacardi 151 proof rum, frozen Pina colada mix, frozen Daiquiri mix","['151 proof rum', 'Pina colada mix', 'Daiquiri mix']"
"미드나잇 민트","Alcoholic","http://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg","Cocktail glass","가능하면 칵테일(마티니) 글라스 가장자리를 슈가 시럽에 담근 후 초콜릿 플레이크나 파우더에 담급니다. 재료를 얼음과 함께 셰이커에 넣습니다. 잘 흔들어 칵테일 글라스에 거릅니다.","1 oz Bailey's irish cream, 3/4 oz White Creme de Menthe, 3/4 oz double Cream","[""Bailey's irish cream"", 'White Creme de Menthe', 'Cream']"
"모히또","Alcoholic","http://www.thecocktaildb.com/images/media/drink/rxtqps1478251029.jpg","Highball glass","민트 잎을 설탕과 라임 주스와 함께 으깹니다. 소다수를 한 방울 넣고 글라스에 크러쉬 아이스를 채웁니다. 럼을 붓고 소다수로 채웁니다. 장식하고 빨대와 함께 서빙합니다.","2-3 oz Light rum, Juice of 1 Lime, 2 tsp Sugar, 2-4 Mint, Soda water","['Light rum', 'Lime', 'Sugar', 'Mint', 'Soda water']"
"모히또 #3","Alcoholic","http://www.thecocktaildb.com/images/media/drink/vwxrsw1478251483.jpg","Collins glass","민트를 레몬 주스와 함께 글라스에 넣고 스푼으로 으깹니다. 얼음, 럼을 넣고 클럽 소다로 채웁니다. 앙고스투라 비터로 마무리합니다.","1/2 handful Mint, 3 cl Lemon juice, 1/8 L Jamaican Dark rum, 1/8 L Club soda, 8 drops Angostura bitters","['Mint', 'Lemon juice', 'Dark rum', 'Club soda', 'Angostura bitters']"
"뉴욕 레모네이드","Alcoholic","http://www.thecocktaildb.com/images/media/drink/b3n0ge1503565473.jpg","Cocktail glass","차갑게 식힌 칵테일 글라스에 서빙합니다. 레몬과 설탕으로 가장자리를 장식합니다. 저어서 거릅니다.","2 oz Absolut Citron, 1 oz Grand Marnier, 2 oz sweetened Lemon juice, 1 oz Club soda","['Absolut Citron', 'Grand Marnier', 'Lemon juice', 'Club soda']"
"올드 패션드","Alcoholic","http://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg","Old-fashioned glass","설탕 큐브를 올드 패션드 글라스에 놓고 비터로 적시고 물을 한 방울 넣습니다. 녹을 때까지 으깹니다._x000D_
글라스에 얼음을 채우고 위스키를 넣습니다._x000D_
_x000D_
오렌지 트위스트와 칵테일 체리로 장식합니다.","4.5 cL Bourbon, 2 dashes Angostura bitters, 1 cube Sugar, dash Water","['Bourbon', 'Angostura bitters', 'Sugar', 'Water']"
"오렌지에이드","Non alcoholic","http://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg","Highball glass","큰 텀블러나 하이볼 글라스에 얼음을 조금 넣고 레몬 주스, 오렌지 주스, 슈가 시럽을 넣고 잘 저어줍니다. 차가운 소다수로 채우고 빨대와 함께 서빙합니다.","5 cl Lemon juice, 15 cl Orange juice, 2-3 cl Sugar syrup, Soda water","['Lemon juice', 'Orange juice', 'Sugar syrup', 'Soda water']"
"피스코 사워","Alcoholic","http://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg","Cocktail glass","얼음이 든 칵테일 셰이커에서 내용물을 세게 흔든 후 글라스에 따르고 비터로 장식합니다.[1]","2 oz Pisco, 1 oz Lemon juice, 1-2 tblsp Sugar, Ice","['Pisco', 'Lemon juice', 'Sugar', 'Ice']"
"레일 스플리터","Non alcoholic","http://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg","Highball glass","키 큰 글라스에 슈가 시럽과 레몬 주스를 섞습니다. 진저 에일로 채웁니다.","2 tsp Sugar syrup, Lemon juice, Ginger ale","['Sugar syrup', 'Lemon juice', 'Ginger ale']"
"루비 튜즈데이","Alcoholic","http://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg","Highball glass","진과 크랜베리를 얼음이 든 하이볼에 붓습니다. 그레나딘을 넣고 저어줍니다.","2 oz Gin, 5 oz Cranberry juice, 2 splashes Grenadine","['Gin', 'Cranberry juice', 'Grenadine']"
"샤크 어택","Alcoholic","http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg","Pitcher","캔 뒷면의 지침에 따라 레모네이드와 물을 섞습니다. 지침에 물 4 1/3캔을 넣으라고 하면 그렇게 하십시오. 피처에 섞습니다. 보드카(앱솔루트) 1 1/2 컵을 넣습니다. 잘 섞어줍니다. 크러쉬 아이스 글라스에 붓습니다. 훌륭합니다!","1 can Lemonade, 3 cans Water, 1 1/2 cup Vodka","['Lemonade', 'Water', 'Vodka']"
"데킬라 선라이즈","Alcoholic","http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg","Highball glass","데킬라와 오렌지 주스를 얼음 위 글라스에 붓습니다. 바닥에 가라앉을 그레나딘을 넣습니다. 살짝 저어 선라이즈 효과를 만듭니다. 장식하고 서빙합니다.","2 measures Tequila, Orange juice, Grenadine","['Tequila', 'Orange juice', 'Grenadine']"
"악마의 블루 씽","Alcoholic","http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg","Old-fashioned glass","재료를 글라스에 붓고 블루 웨일을 떨어뜨립니다! 블루 웨일은 실제로 필요하지 않지만 음료를 더 """"재미있게"""" 만듭니다.","1 1/2 oz Creme de Cacao, 1 oz Blue Curacao, 1/2 oz Light rum","['Creme de Cacao', 'Blue Curacao', 'Light rum']"
"베스퍼","Alcoholic","http://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg","Cocktail glass","잘 차가워질 때까지 얼음 위에서 흔든 후 깊은 고블렛에 거르고 얇은 레몬 껍질 슬라이스로 장식합니다.","6 cl Gin, 1.5 cl Vodka, 0.75 cl Lillet Blanc","['Gin', 'Vodka', 'Lillet Blanc']"
"옐로우 버드","Alcoholic","http://www.thecocktaildb.com/images/media/drink/2t9r6w1504374811.jpg","Cocktail glass","흔들어서 차갑게 식힌 칵테일 글라스에 거릅니다","3 cl White Rum, 1.5 cl Galliano, 1.5 cl Triple Sec, 1.5 cl Lime Juice","['White Rum', 'Galliano', 'Triple Sec', 'Lime Juice']"
"지피스 리벤지","Alcoholic","http://www.thecocktaildb.com/images/media/drink/1sqm7n1485620312.jpg","Old-fashioned glass","쿨에이드를 맛에 맞게 섞은 후 럼과 아마레또를 넣습니다. 쿨에이드의 설탕이 녹도록 잘 흔들어줍니다... 차갑게 서빙합니다","2 oz Amaretto, 2 oz Rum, 4 oz Grape Kool-Aid","['Amaretto', 'Rum', 'Kool-Aid']"
"조르바티니","Alcoholic","http://www.thecocktaildb.com/images/media/drink/wtkqgb1485621155.jpg","Cocktail glass","마티니처럼 준비합니다. 녹색 올리브로 장식합니다.","1 1/4 oz Stoli Vodka, 1/4 oz Ouzo","['Vodka', 'Ouzo']"
